timestamp,station_id,line_direction_cid,car1_congestion,car2_congestion,car3_congestion,car4_congestion,car5_congestion,car6_congestion
2025-07-14 22:01:24,BR09,1,3,3,2.0,3.0,0,0
2025-07-14 22:01:20,BR10,2,2,1,1.0,1.0,0,0
2025-07-14 22:01:05,BR19,1,1,1,1.0,1.0,0,0
2025-07-14 22:00:38,BR23,2,1,1,1.0,1.0,0,0
2025-07-14 22:00:34,BR22,1,1,2,1.0,1.0,0,0
2025-07-14 22:00:20,BR16,1,1,1,1.0,1.0,0,0
2025-07-14 22:00:08,BR03,1,1,1,1.0,1.0,0,0
2025-07-14 21:59:54,BR12,1,2,1,2.0,3.0,0,0
2025-07-14 21:59:35,BR07,2,1,1,1.0,1.0,0,0
2025-07-14 21:59:28,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 21:59:27,BR09,2,1,1,1.0,1.0,0,0
2025-07-14 21:59:16,BR14,1,2,2,2.0,2.0,0,0
2025-07-14 21:59:13,BR17,2,2,1,1.0,1.0,0,0
2025-07-14 21:58:58,BR22,2,1,1,1.0,1.0,0,0
2025-07-14 21:58:55,BR17,1,1,1,1.0,1.0,0,0
2025-07-14 21:58:43,BR13,2,2,1,2.0,2.0,0,0
2025-07-14 21:58:43,BR23,1,2,2,1.0,1.0,0,0
2025-07-14 22:07:23,BR13,2,2,2,2.0,2.0,0,0
2025-07-14 22:07:06,BR11,1,3,2,2.0,2.0,0,0
2025-07-14 22:07:06,BR08,1,2,2,1.0,1.0,0,0
2025-07-14 22:07:02,BR06,1,2,2,2.0,2.0,0,0
2025-07-14 22:06:27,BR16,1,1,1,1.0,1.0,0,0
2025-07-14 22:06:23,BR16,2,2,2,1.0,1.0,0,0
2025-07-14 22:06:21,BR14,2,2,1,2.0,1.0,0,0
2025-07-14 22:06:20,BR19,1,1,1,1.0,1.0,0,0
2025-07-14 22:06:04,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 22:05:43,BR10,2,2,1,1.0,1.0,0,0
2025-07-14 22:05:31,BR09,1,2,2,1.0,2.0,0,0
2025-07-14 22:05:24,BR07,1,2,2,2.0,2.0,0,0
2025-07-14 22:05:24,BR12,1,2,2,2.0,2.0,0,0
2025-07-14 22:04:58,BR17,1,1,1,1.0,1.0,0,0
2025-07-14 22:04:57,BR12,2,2,2,1.0,1.0,0,0
2025-07-14 22:04:49,BR14,1,1,1,1.0,2.0,0,0
2025-07-14 22:04:43,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 22:04:10,BR15,2,2,2,1.0,1.0,0,0
2025-07-14 22:04:09,BR23,1,1,1,1.0,1.0,0,0
2025-07-14 22:04:04,BR01,1,1,1,1.0,1.0,0,0
2025-07-14 22:03:52,BR09,2,1,1,1.0,1.0,0,0
2025-07-14 22:03:50,BR10,1,2,1,1.0,2.0,0,0
2025-07-14 22:03:45,BR19,2,2,1,1.0,1.0,0,0
2025-07-14 22:03:21,BR11,2,2,2,1.0,1.0,0,0
2025-07-14 22:03:14,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 22:12:25,BR02,2,1,1,1.0,1.0,0,0
2025-07-14 22:11:53,BR13,2,1,1,1.0,2.0,0,0
2025-07-14 22:11:47,BR23,2,1,1,1.0,1.0,0,0
2025-07-14 22:11:44,BR16,1,1,1,1.0,1.0,0,0
2025-07-14 22:11:09,BR06,1,1,1,1.0,1.0,0,0
2025-07-14 22:11:02,BR14,2,2,1,2.0,3.0,0,0
2025-07-14 22:10:58,BR09,1,2,3,2.0,2.0,0,0
2025-07-14 22:10:52,BR12,1,1,1,1.0,2.0,0,0
2025-07-14 22:10:48,BR14,1,2,2,1.0,1.0,0,0
2025-07-14 22:10:38,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 22:10:32,BR01,2,1,1,1.0,1.0,0,0
2025-07-14 22:10:15,BR17,1,1,1,1.0,1.0,0,0
2025-07-14 22:09:50,BR18,2,2,1,1.0,1.0,0,0
2025-07-14 22:09:34,BR07,1,2,1,1.0,1.0,0,0
2025-07-14 22:09:31,BR15,2,2,2,2.0,2.0,0,0
2025-07-14 22:09:18,BR12,2,1,1,1.0,1.0,0,0
2025-07-14 22:09:17,BR05,2,1,1,1.0,1.0,0,0
2025-07-14 22:09:16,BR10,1,2,2,2.0,2.0,0,0
2025-07-14 22:09:14,BR05,1,1,2,1.0,1.0,0,0
2025-07-14 22:08:46,BR15,1,1,1,1.0,1.0,0,0
2025-07-14 22:17:27,BR15,2,1,1,1.0,1.0,0,0
2025-07-14 22:17:20,BR16,1,1,1,1.0,1.0,0,0
2025-07-14 22:17:16,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 22:17:15,BR17,2,1,1,2.0,1.0,0,0
2025-07-14 22:16:51,BR12,1,2,2,2.0,2.0,0,0
2025-07-14 22:16:36,BR06,1,1,1,1.0,1.0,0,0
2025-07-14 22:16:33,BR09,2,1,1,2.0,2.0,0,0
2025-07-14 22:16:24,BR09,1,2,1,2.0,2.0,0,0
2025-07-14 22:16:15,BR04,2,1,1,1.0,1.0,0,0
2025-07-14 22:16:05,BR14,1,2,2,2.0,2.0,0,0
2025-07-14 22:15:58,BR04,1,1,1,1.0,1.0,0,0
2025-07-14 22:15:56,BR01,2,1,1,1.0,1.0,0,0
2025-07-14 22:15:47,BR02,1,1,1,1.0,1.0,0,0
2025-07-14 22:15:44,BR17,1,1,1,1.0,1.0,0,0
2025-07-14 22:15:40,BR12,2,2,1,1.0,2.0,0,0
2025-07-14 22:15:26,BR23,1,1,2,1.0,1.0,0,0
2025-07-14 22:15:23,BR14,2,1,1,1.0,2.0,0,0
2025-07-14 22:15:20,BR16,2,2,1,2.0,3.0,0,0
2025-07-14 22:15:00,BR07,1,2,2,2.0,1.0,0,0
2025-07-14 22:14:28,BR10,1,2,2,1.0,2.0,0,0
2025-07-14 22:14:27,BR03,1,1,1,1.0,1.0,0,0
2025-07-14 22:14:18,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 22:14:07,BR11,2,3,2,1.0,2.0,0,0
2025-07-14 22:14:04,BR15,1,2,2,1.0,2.0,0,0
2025-07-14 22:14:03,BR13,1,2,2,1.0,1.0,0,0
2025-07-14 22:13:53,BR08,2,1,1,1.0,1.0,0,0
2025-07-14 22:13:53,BR03,2,1,1,1.0,1.0,0,0
2025-07-14 22:13:44,BR05,1,1,1,1.0,1.0,0,0
2025-07-14 22:13:12,BR04,1,1,1,1.0,1.0,0,0
2025-07-14 22:22:22,BR09,1,3,3,2.0,2.0,0,0
2025-07-14 22:22:07,BR12,1,2,2,2.0,2.0,0,0
2025-07-14 22:22:04,BR06,1,2,2,1.0,1.0,0,0
2025-07-14 22:21:55,BR04,2,1,1,1.0,1.0,0,0
2025-07-14 22:21:39,BR19,2,1,1,1.0,1.0,0,0
2025-07-14 22:21:36,BR14,1,2,1,1.0,2.0,0,0
2025-07-14 22:21:26,BR04,1,1,1,1.0,1.0,0,0
2025-07-14 22:21:23,BR20,1,1,1,1.0,1.0,0,0
2025-07-14 22:21:11,BR17,2,1,1,2.0,2.0,0,0
2025-07-14 22:21:11,BR06,2,1,1,1.0,1.0,0,0
2025-07-14 22:21:10,BR23,2,1,1,1.0,1.0,0,0
2025-07-14 22:20:27,BR07,1,2,2,1.0,1.0,0,0
2025-07-14 22:20:02,BR02,1,1,1,1.0,1.0,0,0
2025-07-14 22:19:40,BR16,2,1,1,2.0,2.0,0,0
2025-07-14 22:19:36,BR15,1,2,1,1.0,2.0,0,0
2025-07-14 22:19:23,BR13,2,2,2,2.0,2.0,0,0
2025-07-14 22:19:20,BR13,1,2,2,2.0,2.0,0,0
2025-07-14 22:19:20,BR03,2,1,1,1.0,1.0,0,0
2025-07-14 22:19:19,BR22,2,1,1,1.0,1.0,0,0
2025-07-14 22:19:10,BR05,1,1,1,1.0,1.0,0,0
2025-07-14 22:19:00,BR21,1,1,1,1.0,1.0,0,0
2025-07-14 22:18:51,BR18,2,1,1,2.0,1.0,0,0
2025-07-14 22:18:38,BR05,2,1,1,1.0,1.0,0,0
2025-07-14 22:18:33,BR03,1,1,1,1.0,1.0,0,0
2025-07-14 22:18:24,BR11,1,2,1,2.0,2.0,0,0
2025-07-14 22:18:11,BR01,1,1,1,1.0,1.0,0,0
2025-07-14 22:26:57,BR09,2,1,1,1.0,2.0,0,0
2025-07-14 22:26:57,BR17,1,1,1,1.0,1.0,0,0
2025-07-14 22:26:38,BR06,2,1,1,1.0,1.0,0,0
2025-07-14 22:26:26,BR23,1,1,1,1.0,1.0,0,0
2025-07-14 22:26:22,BR21,2,1,1,2.0,1.0,0,0
2025-07-14 22:26:13,BR07,1,2,2,2.0,2.0,0,0
2025-07-14 22:26:01,BR13,2,1,2,2.0,3.0,0,0
2025-07-14 22:25:59,BR10,1,2,2,1.0,2.0,0,0
2025-07-14 22:25:31,BR02,1,1,1,1.0,1.0,0,0
2025-07-14 22:25:16,BR08,2,1,1,1.0,1.0,0,0
2025-07-14 22:24:58,BR13,1,1,1,2.0,2.0,0,0
2025-07-14 22:24:49,BR18,1,1,1,1.0,1.0,0,0
2025-07-14 22:24:05,BR05,2,1,1,1.0,1.0,0,0
2025-07-14 22:24:01,BR03,1,1,1,1.0,1.0,0,0
2025-07-14 22:23:56,BR08,1,2,2,2.0,2.0,0,0
2025-07-14 22:23:49,BR11,1,2,2,2.0,2.0,0,0
2025-07-14 22:23:35,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 22:23:23,BR20,2,1,1,2.0,1.0,0,0
2025-07-14 22:23:20,BR18,2,1,1,1.0,1.0,0,0
2025-07-14 22:32:25,BR09,2,1,1,1.0,2.0,0,0
2025-07-14 22:32:23,BR12,2,2,1,1.0,2.0,0,0
2025-07-14 22:31:41,BR07,1,2,2,1.0,1.0,0,0
2025-07-14 22:31:34,BR24,1,1,1,1.0,1.0,0,0
2025-07-14 22:30:48,BR11,2,2,2,1.0,2.0,0,0
2025-07-14 22:30:47,BR15,1,1,1,1.0,1.0,0,0
2025-07-14 22:30:43,BR08,2,1,1,1.0,1.0,0,0
2025-07-14 22:30:41,BR21,2,1,1,1.0,1.0,0,0
2025-07-14 22:30:33,BR03,2,1,1,1.0,1.0,0,0
2025-07-14 22:30:01,BR21,1,1,1,1.0,1.0,0,0
2025-07-14 22:29:35,BR23,2,1,1,1.0,1.0,0,0
2025-07-14 22:29:29,BR11,1,2,1,2.0,2.0,0,0
2025-07-14 22:29:26,BR03,1,1,1,1.0,1.0,0,0
2025-07-14 22:29:13,BR08,1,2,2,1.0,2.0,0,0
2025-07-14 22:29:05,BR02,2,1,1,1.0,1.0,0,0
2025-07-14 22:28:49,BR10,2,2,1,1.0,2.0,0,0
2025-07-14 22:28:27,BR16,1,1,1,1.0,1.0,0,0
2025-07-14 22:28:19,BR22,2,1,1,1.0,1.0,0,0
2025-07-14 22:28:16,BR07,2,1,1,1.0,1.0,0,0
2025-07-14 22:28:16,BR22,1,1,1,1.0,1.0,0,0
2025-07-14 22:37:05,BR07,1,2,1,1.0,1.0,0,0
2025-07-14 22:36:50,BR24,2,1,1,1.0,1.0,0,0
2025-07-14 22:36:04,BR11,2,2,2,2.0,2.0,0,0
2025-07-14 22:36:02,BR13,1,1,1,1.0,1.0,0,0
2025-07-14 22:35:52,BR05,1,1,1,1.0,1.0,0,0
